nom_produit,prix,imageurl,subcategory,subsubcategory,shortdesc,largedesc
Pickleball bois - jeu complet,"192,00 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG101173675.jpg?frz-v=95,Pickleball,,Parfait pour l'initiation au pickleball en milieu scolaire ou en loisirs,"Jeu de pickleball en bois complet prèt à jouer ! | Filet facile à installer et à transporter | Marquage, pour créer rapidement un terrain adapté | Raquette en bois, parfaite pour les débutants | Balle intérieure, légère et adaptée aux gymnases | Balle extérieure, résistante pour les surfaces extérieures | Sac en mesh 013005, pratique pour le rangement et le transport du matériel"
Mallette pédagogique 20 chronos top Casal Sport,"164,00 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG50891418.jpg?frz-v=95,"Arbitrage, Coaching",Chronomètres de Sport,Mallette pédagogique 20 chronomètres idéale pour les cours d'EPS ou stage d'arbitrage,"Mallette de rangement souple, facilement transportable, très pratique grâce à ces 20 emplacements individuels. | Poche de rangement extérieure pour y mettre un porte-document, des feuilles ou une planchette de chronométrage. | Comporte 20 chronomètres idéale pour l'apprentissage au collège | Pile isolée pour éviter garder toute sa capacité dès la première utilisation. | Ecran ultra large, chiffres de 12mm de hauteur pour une lisibilité parfaite des scores de courses. | Boutons sur le chonomètre, de couleurs différentes pour une explication simplifiée des commandes. | Cordon pour être utilisé soit en tour de cou, soit autour du poignet. | Fonctions : Heures, minutes, secondes, mois, date et jour, comptage au 1/100e de seconde sur 30 minutes et à la seconde sur 24 h, temps net, temps intermédiaire (Split = temps de passage), temps du 1er et 2ème arrivés, alarme."
Raquette badminton Absolute 520 Casal Sport Lot de 20+ Sac+ Volants,"289,80 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29360564.jpg?frz-v=95,Badminton,Kits Badminton,"Kit badminton Casal Sport Absolute 520, idéal pour en collectivités et en clubs.","Raquette mise au point par Casal Sport pour une utilisation intensive en collectivités et en clubs. | Raquette solide, robuste, avec une tige épaisse et résistante | Dimensions : Longueur : 67 cm. Poids : 105 g. | Cadre aluminium isométrique 12 mm : renforcé pour assurer une excellente solidité, système isométrique pour éviter la vrille du cadre. | T intégré : profilé avec intérieur renforcé. | Tige aluminium 8 mm : manche monobloc pour assurer une grande longévité à la raquette. | Cordage multifibre : nous avons sélectionné l'un des cordages multifibres le plus résistant du marché, fabriqué à Taiwan et reconnu pour sa solidité et sa longévité. | Grip polyyéréthane : solide, doux, épais et bien fixé pour une meilleure longévité. | Numérotez vos raquettes de badminton pour inventorier plus facilement votre matériel après chaque séance. | Volant Mavis 600 Yonex, nouveau modèle du volant Mavis 500 Yonex | Vol très proche de celui d'un volant plume. | Fabriqué pour durer | Jupe plastique et embout liège. | Trajectoire ultra-précise | Sac de rangement pouvant contenir tout le kit de badminton complet"
Lot 20 raquettes Casal Sport basic plus + 1 sac + 6 volants,"181,91 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG63690113.jpg?frz-v=95,Badminton,Kits Badminton,"20 raquettes de badminton Casal Sport basic plus, idéales pour les collectivités, les collèges à partir de...","Raquette conçue pour les adolescents entre 10 et 14 ans. | Repères de couleur pour aider à la pédagogie des prises de raquette. | Dimensions : Longueur : 66,5 cm et Poids : 101 g. | Cadre aluminium 12 mm : renforcé pour assurer solidité et rigidité. | Cordage multifibre très résistant du marché, fabriqué à Taiwan et reconnu pour sa solidité et sa longévité."
Valise soigneur Médical Bag 1 Garni - Casal Sport,"59,00 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29457582.jpg?frz-v=95,Pharmacie du sportif,Matériel de premiers secours,"Valise de soigneur Médical Bag 1 garni, étudiée pour transporter les produits de soins.","Valise soigneur Médical Bag 1 en nylon 600 deniers enduit PVC très solide, spécialement étudiée pour transporter les produits de soins. | Cadre rigide pour assurer une bonne tenue, compartiments intérieurs : séparation rigide qui permet d'avoir 4 faces de rangement de tubes, pots, flacons et autres produits de soins. | Dimensions : longueur 43 cm - hauteur 35 cm - largeur 17 cm."
Raquette tennis de table - Casal Sport - School 2,"5,25 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG78177849.jpg?frz-v=95,Tennis de table,Raquettes de Tennis de table,"Raquette de tennis de table Casal Sport School 2, idéale pour l'initiation en mileu scolaire.","Raquette en bois 5 plis avec picots envers sur mousse de 1,5 mm. | Manche de forme anatomique en bois brut très robuste. | Modèle conçu en collaboration entre Casal Sport et Joola. | Poids : 160 g."
Raquette de tennis de table Protector - Casal Sport - Lot de 20,"100,10 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29470741.jpg?frz-v=95,Tennis de table,Kits Tennis de table,20 raquettes de ping Premium Protector spécialement conçue par Casal Sport.,"Raquette en bois 5 plis, picots intérieurs sur mousse de 1 mm, manche droit. | Un modèle spécialement conçu pour un usage intensif dans les clubs et les collectivités. | Plus produit : un adhésif spécial anti-décollement des plaques est installé sur tout le pourtour des plaques de jeu. Stop au jeu favori des élèves qui s'amusent à décoller les plaques de jeu ! Il y a aussi de l'adhésif sur le manche pour renforcer celui-ci. | Jouez au tennis de table avec une raquette de ping dont la durée de vie est 4 fois plus longue. | Ceci en fait le meilleur rapport qualité-prix pour les collectivités ! | Poids : 159 g."
Lot de 20 ceintures rugby et football américain Casal Sport,"91,00 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29282012.jpg?frz-v=95,"Arbitrage, Coaching",Brassards de sport,Description courte non disponible,Idéal pour l'initiation sécurisée au rugby ou tout autre jeu collectif. | Ceinture réglage par clips ajustables avec 2 lanières (drapeaux) fixées à la ceinture par système scratch.
Paire de buts Sandball 3 m x 2 m Quickfast - Casal Sport,"313,50 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29357633.jpg?frz-v=95,Handball,Buts de Handball,"2 buts mobiles de sandball Quickfast, 3 m x 2 m, très facilement transportables conçus de manière...","But de hand mobile léger et facilement transportable | Assemblage simple et rapide (moins de 2 minutes). | Structure au sol en acier de qualité supérieur résistant à toutes conditions météorologiques. | Structure en tubes composites pour assurer la tension générale et une tenue parfaite du but. | Montants recouverts d'une bâche ultra-résistante | Filet, déjà installé sur la structure, est en polyester de 4 mm bicolore (bleu-blanc) | Supports en caoutchouc intégrés à la structure permettant d'assurer une parfaite stabilité sur le sol du gymnase. | Dimensions de but : 3m x 2m."
"Draisienne, tricycle, trottinette Casal Sport","392,79 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29452756.jpg?frz-v=95,"Draisiennes, Tricycles, Vélos",Draisiennes,Lot de Draisienne + Tricycle + Trotinette Intensif CASAL SPORT,"Lot de Draisienne + Tricycle + Trotinette Intensif CASAL SPORT. | Casal Sport a sélectionné pour vous une gamme complète de produits, conformes aux normes de sécurité européennes, très robuste, conçue spécialement pour un usage intensif dans les écoles. | Caractéristiques des produits : | Châssis et cadres en tube acier soudé avec revêtement en peinture epoxy résistante aux chocs. | Selle en PVC soft et résistant pour un confort optimal de l'enfant. | Poignées consolidées en matière synthétique. Blocage du guidon sans risque pour les doigts. Manivelle de pédale en acier renforcé. | Roue pleine très robuste et souple."
Lot de 20 raquettes Casal Sport Init 4 + 1 sac + 6 volants,"141,15 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29360561.jpg?frz-v=95,Badminton,Kits Badminton,"20 raquettes de badminton Casal Sport init 4, idéales pour l'initiation du bad en milieu scolaire pour les...","20 raquettes d'initiation conçu par Casal Sport pour une utilisation par les enfants de 6 à 10 ans. | Cette raquette beaucoup plus courte permet une gestuelle plus aisée. | Descriptif technique : Longueur : 53 cm - Poids : 98 g | Cordage multifibre : nous avons sélectionné l'un des cordages multifibres le plus résistant du marché, fabriqué à Taiwan et reconnu pour sa solidité et sa longévité. | Cadre aluminium 10 mm : renforcé pour assurer une bonne solidité et une bonne rigidité. | T renforcé : en acier rigidifié par une épaisseur supplémentaire. | Tige acier 6 mm : renforcé, très solide et plus courte. | Grip polyuréthane : solide, doux, épais et bien fixé pour une meilleure longévité. | Numérotez vos raquettes de badminton pour inventorier plus facilement votre matériel après chaque séance."
Paire de buts de mini-hand Quickfast Casal Sport,"284,63 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29304763.jpg?frz-v=95,Handball,Buts de Handball,"2 buts de mini-hand, 2.40 m x 1.70 m, mobiles et très facilement transportables conçus de manière...","But de hand mobile léger et facilement transportable | Assemblage simple et rapide (moins de 2 minutes). | Structure au sol en acier de qualité supérieur résistant à toutes conditions météorologiques. | Structure en tubes composites pour assurer la tension générale et une tenue parfaite du but. | Montants recouverts d'une bâche ultra-résistante | Filet, déjà installé sur la structure, est en polyester de 4 mm bicolore (bleu-blanc) | Supports en caoutchouc intégrés à la structure permettant d'assurer une parfaite stabilité sur le sol du gymnase. | Dimensions de but : 2.40 m x 1.70 m."
Tricycle 1 place Casal Sport - Lot de 3,"428,88 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29283065.jpg?frz-v=95,"Draisiennes, Tricycles, Vélos",Tricycles,Lot de 3 tricycles standards pour un enfant conçu pour apprentissage du vélo dans un usage intensif.,"Lot de 3 tricycles standards pour enfant de 3 à 6 ans. | Casal Sport a sélectionné pour vous une gamme complète de produits, conformes aux normes de sécurité européennes, très robuste, conçue spécialement pour un usage intensif dans les écoles. | Caractéristiques des produits : | Châssis et cadres en tube acier soudé avec revêtement en peinture epoxy résistante aux chocs. | Selle en PVC soft et résistant pour un confort optimal de l'enfant. | Poignées consolidées en matière synthétique. Blocage du guidon sans risque pour les doigts. Manivelle de pédale en acier renforcé. | Roue pleine très robuste et souple. | Dimensions : | Diamètre roue avant : 27 cm. | Diamètre roue arrière : 17 cm. | Hauteur guidon/sol : 63 cm. | Hauteur : 32cm. | Longueur : 76 cm. | Largeur : 48 cm. | Poids : 8 kg."
Ceinture de Rugby et Football Américain - Casal Sport,"45,50 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29240181.jpg?frz-v=95,"Arbitrage, Coaching",Brassards de sport,Description courte non disponible,Idéal pour l'initiation sécurisée au rugby ou tout autre jeu collectif. | Ceinture réglage par clips ajustables avec 2 lanières (drapeaux) fixées à la ceinture par système scratch.
Disques volants Soft 150 Casal Sport - lot de 10,"96,25 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29294520.jpg?frz-v=95,Ultimate,,Spécialement conçu pour le jeu de l'ultimate et l'exécution de figures libres freestyle,"Lot de 10 disques volants SOFT 150 Casal Sport avec manuel de 16 pages sur les différents jeux et activités. | Spécialement conçu pour le jeu de l'ultimate et l'exécution de figures libres freestyle, il est antichoc, ne craint pas les coups, les angles de murs. Et du fait qu'il soit légèrement mou, il ne blesse pas les usagers même en cas de choc sur le visage. Distance de vol : 70 m. | Diamètre : 240 mm. | Poids : 92 g."
Lot de City (taxi + ambulance + police) - Casal Sport,"656,16 €",https://www.casalsport.com/fstrz/r/s/www.casalsport.com/img/S/GRP/ST/AIG29452759.jpg?frz-v=95,"Draisiennes, Tricycles, Vélos",Tricycles,Lot de City (taxi + ambulance + police) CASAL SPORT,"Lot de City (taxi + ambulance + police) CASAL SPORT | Casal Sport a sélectionné pour vous une gamme complète de produits, conformes aux normes de sécurité européennes, très robuste, conçue spécialement pour un usage intensif dans les écoles. | Caractéristiques des produits : | Châssis et cadres en tube acier soudé avec revêtement en peinture epoxy résistante aux chocs. | Selle en PVC soft et résistant pour un confort optimal de l'enfant. | Poignées consolidées en matière synthétique. Blocage du guidon sans risque pour les doigts. Manivelle de pédale en acier renforcé. | Roue pleine très robuste et souple."
